Season,Name,Team,G,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,PA,BB.Percent,K.Percent,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,UBR,wGDP,XBR,wSB,wRC,wRAA,wOBA,wRC+,next_AVG
2023,Anthony Santander,BAL,153,591,152,82,41,1,28,81,95,55,1,152,6,4,0,11,5,1,656,0.084,0.23199999999999998,0.36,0.257,0.325,0.472,0.797,0.215,3.5,0.299,0.3,0.3,-0.2,-0.5,92,12.0,0.34,118,0.235
2023,Anthony Volpe,NYY,159,541,113,65,23,4,21,62,60,52,0,167,5,2,1,10,24,5,601,0.087,0.278,0.31,0.209,0.283,0.383,0.666,0.174,6.2,0.259,1.9,-0.1,1.6,1.7,59,-14.0,0.29,83,0.243
2021,Aristides Aquino,CIN,84,174,33,16,6,1,10,25,23,27,2,75,1,2,0,0,2,2,204,0.132,0.368,0.36,0.19,0.299,0.408,0.707,0.218,4.2,0.253,-0.5,1.1,0.2,-0.6,23,-2.0,0.303,83,0.197
2020,Asdrúbal Cabrera,WSN,52,190,46,26,9,3,8,23,31,19,0,40,0,4,0,6,0,0,213,0.08900000000000001,0.188,0.48,0.242,0.305,0.447,0.753,0.205,3.4,0.26,-2.0,-0.5,-0.8,-0.1,27,-0.2,0.319,97,0.244
2020,Austin Barnes,LAD,29,86,21,17,3,0,1,14,9,13,0,24,2,1,2,0,3,0,104,0.125,0.231,0.54,0.244,0.353,0.314,0.667,0.07,5.1,0.323,0.9,0.3,0.0,0.5,12,-1.2,0.306,92,0.215
2021,Austin Barnes,LAD,77,200,43,29,8,0,6,28,23,20,1,56,4,0,1,6,1,0,225,0.08900000000000001,0.249,0.36,0.215,0.299,0.345,0.644,0.13,3.2,0.268,0.4,-0.4,0.0,0.0,22,-5.5,0.285,78,0.212
2022,Austin Barnes,LAD,62,179,38,24,6,0,8,31,26,27,0,37,3,1,2,5,2,1,212,0.127,0.175,0.73,0.212,0.324,0.38,0.704,0.168,3.6,0.222,-1.9,0.0,-1.9,-0.2,25,0.9,0.315,104,0.18
2023,Austin Barnes,LAD,59,178,32,25,5,0,2,15,11,17,0,43,2,2,1,7,2,1,200,0.085,0.215,0.4,0.18,0.256,0.242,0.498,0.062,2.9,0.222,-0.5,-1.0,-1.0,-0.4,10,-14.8,0.229,39,0.264
2020,Austin Hays,BAL,33,122,34,28,2,0,4,20,9,8,0,25,2,2,0,1,2,3,134,0.06,0.187,0.32,0.279,0.328,0.393,0.722,0.115,3.4,0.316,0.7,0.4,0.4,-1.0,16,-0.6,0.315,96,0.256
2021,Austin Hays,BAL,131,488,125,73,26,4,22,73,71,28,0,107,9,1,3,9,4,3,529,0.053,0.20199999999999999,0.26,0.256,0.308,0.461,0.769,0.205,4.8,0.286,-0.2,0.7,0.0,-0.8,70,6.1,0.328,106,0.25
2022,Austin Hays,BAL,145,535,134,81,35,2,16,66,60,34,0,114,10,3,0,11,2,4,582,0.057999999999999996,0.196,0.3,0.25,0.306,0.413,0.719,0.163,3.0,0.289,2.3,0.0,1.5,-1.7,68,1.9,0.314,106,0.275
2023,Austin Hays,BAL,144,520,143,89,36,2,16,76,67,38,1,141,3,5,0,11,5,1,566,0.067,0.249,0.27,0.275,0.325,0.444,0.769,0.169,4.3,0.345,-3.3,-0.2,-0.9,-0.4,74,5.5,0.33,111,0.255
